Time(s),CH1(V)
-4.99e-07,11.414
-4.98e-07,11.4968
-4.97e-07,11.3726
-4.96e-07,11.4968
-4.95e-07,11.3726
-4.940000000000001e-07,11.4968
-4.93e-07,11.4968
-4.92e-07,11.3726
-4.91e-07,11.3726
-4.9e-07,11.4968
-4.89e-07,11.4968
-4.88e-07,11.3726
-4.87e-07,11.3726
-4.86e-07,11.4968
-4.85e-07,11.4968
-4.84e-07,11.3726
-4.83e-07,11.4968
-4.82e-07,11.3726
-4.81e-07,11.4968
-4.8e-07,11.3726
-4.79e-07,11.4968
-4.78e-07,11.3726
-4.77e-07,11.3726
-4.7600000000000003e-07,11.4968
-4.75e-07,11.4968
-4.74e-07,11.3312
-4.73e-07,11.4968
-4.72e-07,11.3726
-4.71e-07,11.4968
-4.7e-07,11.3726
-4.69e-07,11.3726
-4.68e-07,11.4968
-4.67e-07,11.3726
-4.66e-07,11.4968
-4.65e-07,11.4968
-4.64e-07,11.3726
-4.63e-07,11.4968
-4.62e-07,11.3726
-4.61e-07,11.4968
-4.6e-07,11.3726
-4.59e-07,11.4968
-4.58e-07,11.3726
-4.5700000000000003e-07,11.3726
-4.56e-07,11.4968
-4.55e-07,11.3726
-4.54e-07,11.5382
-4.53e-07,11.4968
-4.52e-07,11.3726
-4.51e-07,11.3726
-4.5000000000000003e-07,11.5382
-4.49e-07,11.5382
-4.48e-07,11.3726
-4.47e-07,11.3726
-4.46e-07,11.5382
-4.4500000000000003e-07,11.4968
-4.44e-07,11.3726
-4.43e-07,11.3726
-4.42e-07,11.4968
-4.41e-07,11.3726
-4.4e-07,11.4968
-4.39e-07,11.414
-4.38e-07,11.4554
-4.37e-07,11.4968
-4.36e-07,11.3726
-4.35e-07,11.4968
-4.34e-07,11.3726
-4.33e-07,11.4968
-4.32e-07,11.3726
-4.31e-07,11.4968
-4.3e-07,11.3726
-4.29e-07,11.4968
-4.28e-07,11.3726
-4.27e-07,11.3726
-4.2600000000000003e-07,11.4968
-4.25e-07,11.3726
-4.24e-07,11.5382
-4.23e-07,11.3726
-4.22e-07,11.4968
-4.2099999999999997e-07,11.3726
-4.2e-07,11.4968
-4.1900000000000003e-07,11.3726
-4.18e-07,11.4968
-4.17e-07,11.4968
-4.16e-07,11.3726
-4.15e-07,11.4968
-4.14e-07,11.3726
-4.13e-07,11.4968
-4.12e-07,11.3726
-4.11e-07,11.4968
-4.1e-07,11.3726
-4.09e-07,11.4968
-4.08e-07,11.3726
-4.07e-07,11.4968
-4.06e-07,11.3726
-4.05e-07,11.414
-4.04e-07,11.4968
-4.03e-07,11.4968
-4.02e-07,11.3726
-4.01e-07,11.3726
-4e-07,11.4554
-3.99e-07,11.4968
-3.98e-07,11.3726
-3.97e-07,11.3726
-3.96e-07,11.4968
-3.9500000000000003e-07,11.4968
-3.94e-07,11.3726
-3.93e-07,11.4968
-3.92e-07,11.3726
-3.91e-07,11.4968
-3.8999999999999997e-07,11.3726
-3.89e-07,11.3726
-3.8800000000000003e-07,11.4968
-3.87e-07,11.414
-3.86e-07,11.4968
-3.85e-07,11.414
-3.84e-07,11.4968
-3.83e-07,11.4968
-3.82e-07,11.3726
-3.81e-07,11.3726
-3.8e-07,11.4968
-3.79e-07,11.3726
-3.78e-07,11.4968
-3.77e-07,11.4968
-3.76e-07,11.3726
-3.75e-07,11.4968
-3.74e-07,11.3726
-3.7299999999999997e-07,11.4968
-3.72e-07,11.3726
-3.7100000000000003e-07,11.4968
-3.7e-07,11.3726
-3.69e-07,11.414
-3.68e-07,11.4968
-3.67e-07,11.4968
-3.6599999999999997e-07,11.414
-3.65e-07,11.4968
-3.6400000000000003e-07,11.3726
-3.63e-07,11.4968
-3.62e-07,11.3726
-3.61e-07,11.4968
-3.6e-07,11.3726
-3.5899999999999997e-07,11.3726
-3.58e-07,11.4968
-3.5700000000000003e-07,11.4968
-3.56e-07,11.3726
-3.55e-07,11.4968
-3.54e-07,11.3726
-3.53e-07,11.4968
-3.52e-07,11.3726
-3.51e-07,11.3726
-3.5000000000000004e-07,11.4968
-3.4899999999999996e-07,11.3726
-3.48e-07,11.4968
-3.47e-07,11.3726
-3.46e-07,11.4968
-3.45e-07,11.4968
-3.44e-07,11.414
-3.43e-07,11.5382
-3.4199999999999997e-07,11.3726
-3.41e-07,11.4968
-3.4000000000000003e-07,11.3726
-3.39e-07,11.3726
-3.38e-07,11.4968
-3.37e-07,11.4968
-3.36e-07,11.414
-3.3499999999999997e-07,11.3726
-3.34e-07,11.4968
-3.3300000000000003e-07,11.4968
-3.32e-07,11.3726
-3.31e-07,11.4968
-3.3e-07,11.3726
-3.29e-07,11.3726
-3.2799999999999997e-07,11.4968
-3.27e-07,11.4968
-3.2600000000000003e-07,11.414
-3.2499999999999996e-07,11.3726
-3.24e-07,11.4968
-3.23e-07,11.4968
-3.22e-07,11.3726
-3.21e-07,11.4968
-3.2e-07,11.3726
-3.19e-07,11.4968
-3.1799999999999996e-07,11.3726
-3.17e-07,11.3726
-3.16e-07,11.4968
-3.15e-07,11.3726
-3.14e-07,11.4554
-3.13e-07,11.3726
-3.12e-07,11.4968
-3.1099999999999997e-07,11.3726
-3.1e-07,11.4968
-3.0900000000000003e-07,11.3726
-3.08e-07,11.4968
-3.07e-07,11.3726
-3.06e-07,11.4968
-3.05e-07,11.4968
-3.0399999999999997e-07,11.3726
-3.03e-07,11.3726
-3.0200000000000003e-07,11.4968
-3.01e-07,11.3726
-3e-07,11.4968
-2.99e-07,11.3726
-2.98e-07,11.4968
-2.9699999999999997e-07,11.3726
-2.96e-07,11.4968
-2.9500000000000003e-07,11.4968
-2.9399999999999996e-07,11.3726
-2.93e-07,11.4968
-2.92e-07,11.414
-2.91e-07,11.414
-2.9e-07,11.4968
-2.89e-07,11.3726
-2.88e-07,11.4968
-2.8699999999999996e-07,11.4968
-2.86e-07,11.3726
-2.85e-07,11.4554
-2.84e-07,11.3726
-2.83e-07,11.4968
-2.82e-07,11.3726
-2.81e-07,11.3726
-2.7999999999999997e-07,11.4968
-2.79e-07,11.414
-2.7800000000000003e-07,11.4968
-2.77e-07,11.3726
-2.76e-07,11.4968
-2.75e-07,11.4968
-2.74e-07,11.3726
-2.7299999999999997e-07,11.4968
-2.72e-07,11.414
-2.7100000000000003e-07,11.414
-2.6999999999999996e-07,11.4968
-2.69e-07,11.3726
-2.68e-07,11.4968
-2.67e-07,11.4968
-2.6599999999999997e-07,11.3726
-2.65e-07,11.4968
-2.64e-07,11.3726
-2.6299999999999996e-07,11.4968
-2.62e-07,11.3726
-2.61e-07,11.4968
-2.6e-07,11.3726
-2.59e-07,11.3726
-2.58e-07,11.4968
-2.57e-07,11.3726
-2.56e-07,11.4968
-2.55e-07,11.4968
-2.5399999999999997e-07,11.3726
-2.53e-07,11.3312
-2.52e-07,11.4968
-2.51e-07,11.4968
-2.5e-07,11.3726
-2.4899999999999997e-07,11.3726
-2.48e-07,11.4968
-2.47e-07,11.3726
-2.46e-07,11.4968
-2.45e-07,11.4968
-2.44e-07,11.3726
-2.43e-07,11.4968
-2.4199999999999997e-07,11.3726
-2.41e-07,11.3726
-2.4e-07,11.4968
-2.39e-07,11.4968
-2.38e-07,11.3726
-2.3700000000000002e-07,11.4968
-2.36e-07,11.3726
-2.3499999999999997e-07,11.4968
-2.34e-07,11.3312
-2.3299999999999998e-07,11.4968
-2.32e-07,11.3726
-2.31e-07,11.4968
-2.2999999999999997e-07,11.3726
-2.29e-07,11.3726
-2.2799999999999998e-07,11.4968
-2.27e-07,11.4968
-2.2599999999999999e-07,11.3726
-2.2500000000000002e-07,11.4968
-2.24e-07,11.3726
-2.2299999999999997e-07,11.4968
-2.22e-07,11.3726
-2.2099999999999998e-07,11.3726
-2.2e-07,11.4968
-2.19e-07,11.4554
-2.1799999999999997e-07,11.3726
-2.17e-07,11.3726
-2.1599999999999998e-07,11.4968
-2.15e-07,11.4968
-2.1399999999999998e-07,11.3726
-2.1300000000000001e-07,11.3726
-2.12e-07,11.4968
-2.1099999999999997e-07,11.4968
-2.1e-07,11.3726
-2.0899999999999998e-07,11.4968
-2.08e-07,11.414
-2.07e-07,11.4968
-2.0599999999999997e-07,11.3726
-2.05e-07,11.3726
-2.0399999999999997e-07,11.4968
-2.03e-07,11.3726
-2.0199999999999998e-07,11.4968
-2.01e-07,11.4968
-2e-07,11.3726
-1.9899999999999997e-07,11.3726
-1.98e-07,11.4968
-1.9699999999999998e-07,11.5382
-1.96e-07,11.3726
-1.9499999999999999e-07,11.4968
-1.9399999999999996e-07,11.3726
-1.93e-07,11.3726
-1.9199999999999997e-07,11.4968
-1.91e-07,11.3726
-1.8999999999999998e-07,11.4968
-1.89e-07,11.3726
-1.88e-07,11.4968
-1.8699999999999997e-07,11.4968
-1.86e-07,11.3726
-1.8499999999999998e-07,11.3726
-1.84e-07,11.4968
-1.8299999999999998e-07,11.3726
-1.8199999999999996e-07,11.4554
-1.81e-07,11.4968
-1.7999999999999997e-07,11.3726
-1.79e-07,11.4968
-1.7799999999999998e-07,11.3726
-1.77e-07,11.4968
-1.76e-07,11.3726
-1.7499999999999997e-07,11.4968
-1.74e-07,11.3726
-1.7299999999999997e-07,11.3726
-1.72e-07,11.4968
-1.7099999999999998e-07,11.3726
-1.7000000000000001e-07,11.4968
-1.69e-07,11.4968
-1.6799999999999997e-07,11.3726
-1.67e-07,11.4968
-1.6599999999999998e-07,11.3726
-1.65e-07,11.3726
-1.6399999999999999e-07,11.4968
-1.6299999999999996e-07,11.3726
-1.62e-07,11.4968
-1.6099999999999997e-07,11.4968
-1.6e-07,11.3726
-1.5899999999999998e-07,11.3312
-1.58e-07,11.4968
-1.57e-07,11.4968
-1.5599999999999997e-07,11.3726
-1.55e-07,11.3726
-1.5399999999999998e-07,11.4968
-1.53e-07,11.4968
-1.5199999999999998e-07,11.414
-1.5099999999999996e-07,11.4968
-1.5e-07,11.3726
-1.4899999999999997e-07,11.5382
-1.48e-07,11.3726
-1.4699999999999998e-07,11.3726
-1.46e-07,11.4968
-1.45e-07,11.414
-1.4399999999999997e-07,11.4968
-1.43e-07,11.4968
-1.4199999999999997e-07,11.3726
-1.41e-07,11.3726
-1.3999999999999998e-07,11.4968
-1.3899999999999996e-07,11.4968
-1.38e-07,11.3726
-1.3699999999999997e-07,11.4968
-1.36e-07,11.3726
-1.3499999999999998e-07,11.4968
-1.34e-07,11.3726
-1.3299999999999999e-07,11.4968
-1.3199999999999996e-07,11.3726
-1.31e-07,11.4968
-1.2999999999999997e-07,11.3726
-1.29e-07,11.4968
-1.2799999999999998e-07,11.3726
-1.2699999999999996e-07,11.3726
-1.26e-07,11.4968
-1.2499999999999997e-07,11.3726
-1.24e-07,11.4968
-1.2299999999999998e-07,11.3726
-1.22e-07,11.4968
-1.2099999999999998e-07,11.4968
-1.1999999999999996e-07,11.3726
-1.19e-07,11.4968
-1.1799999999999997e-07,11.3726
-1.17e-07,11.3726
-1.1599999999999998e-07,11.4968
-1.1499999999999996e-07,11.3726
-1.1399999999999999e-07,11.4968
-1.1299999999999997e-07,11.3726
-1.12e-07,11.4968
-1.1099999999999997e-07,11.414
-1.1e-07,11.4968
-1.0899999999999998e-07,11.4968
-1.0799999999999996e-07,11.3726
-1.0699999999999999e-07,11.4968
-1.0599999999999997e-07,11.3726
-1.05e-07,11.3726
-1.0399999999999998e-07,11.4968
-1.0300000000000001e-07,11.3726
-1.0199999999999999e-07,11.4968
-1.0099999999999996e-07,11.3726
-1e-07,11.4968
-9.899999999999997e-08,11.4968
-9.8e-08,11.3726
-9.699999999999998e-08,11.3726
-9.599999999999996e-08,11.4968
-9.499999999999999e-08,11.4968
-9.399999999999997e-08,11.3726
-9.3e-08,11.4968
-9.199999999999998e-08,11.3726
-9.100000000000001e-08,11.4968
-8.999999999999999e-08,11.414
-8.899999999999996e-08,11.4968
-8.8e-08,11.3726
-8.699999999999997e-08,11.4968
-8.6e-08,11.3726
-8.499999999999998e-08,11.3726
-8.399999999999996e-08,11.4968
-8.299999999999999e-08,11.4968
-8.199999999999997e-08,11.3726
-8.1e-08,11.3726
-7.999999999999998e-08,11.4554
-7.9e-08,11.3726
-7.799999999999998e-08,11.4968
-7.699999999999996e-08,11.3726
-7.599999999999999e-08,11.4968
-7.499999999999997e-08,11.4968
-7.4e-08,11.3726
-7.299999999999998e-08,11.3726
-7.199999999999996e-08,11.4968
-7.099999999999999e-08,11.3726
-6.999999999999997e-08,11.5382
-6.9e-08,11.3726
-6.799999999999997e-08,11.4968
-6.7e-08,11.4968
-6.599999999999998e-08,11.3726
-6.499999999999996e-08,11.4968
-6.399999999999999e-08,11.414
-6.299999999999997e-08,11.4968
-6.2e-08,11.3726
-6.099999999999998e-08,11.3726
-5.999999999999995e-08,11.4968
-5.8999999999999986e-08,11.414
-5.7999999999999963e-08,11.4968
-5.6999999999999994e-08,11.3726
-5.599999999999997e-08,11.4968
-5.5e-08,11.4968
-5.399999999999998e-08,11.3726
-5.299999999999996e-08,11.414
-5.199999999999999e-08,11.4968
-5.099999999999997e-08,11.3726
-5e-08,11.4968
-4.8999999999999976e-08,11.4968
-4.8000000000000006e-08,11.3726
-4.6999999999999984e-08,11.3726
-4.599999999999996e-08,11.4968
-4.499999999999999e-08,11.3726
-4.399999999999997e-08,11.4968
-4.3e-08,11.4968
-4.199999999999998e-08,11.3726
-4.099999999999996e-08,11.4968
-3.999999999999999e-08,11.3726
-3.8999999999999965e-08,11.3726
-3.7999999999999996e-08,11.4968
-3.6999999999999974e-08,11.3726
-3.6000000000000005e-08,11.4968
-3.499999999999998e-08,11.4968
-3.399999999999996e-08,11.3726
-3.299999999999999e-08,11.3726
-3.199999999999997e-08,11.4968
-3.1e-08,11.4968
-2.999999999999998e-08,11.3726
-2.8999999999999955e-08,11.4968
-2.7999999999999986e-08,11.3726
-2.6999999999999964e-08,11.3726
-2.5999999999999995e-08,11.4968
-2.4999999999999972e-08,11.3726
-2.4000000000000003e-08,11.4968
-2.299999999999998e-08,11.3726
-2.199999999999996e-08,11.4968
-2.099999999999999e-08,11.3726
-2.000000000000002e-08,11.4968
-1.8999999999999945e-08,11.3726
-1.7999999999999976e-08,11.4968
-1.7000000000000007e-08,11.3726
-1.599999999999993e-08,11.4968
-1.4999999999999962e-08,11.3726
-1.3999999999999993e-08,11.4968
-1.3000000000000024e-08,11.3726
-1.1999999999999949e-08,11.4968
-1.099999999999998e-08,11.3726
-1.000000000000001e-08,11.4968
-8.999999999999935e-09,11.3726
-7.999999999999966e-09,11.4968
-6.9999999999999965e-09,11.4968
-6.000000000000027e-09,11.3312
-4.999999999999952e-09,11.3726
-3.999999999999983e-09,11.4968
-3.0000000000000136e-09,11.2898
-1.9999999999999385e-09,13.484
-9.999999999999692e-10,13.5668
0.0,13.9394
1.0000000000000751e-09,13.8566
2.0000000000000444e-09,13.9808
3.0000000000000136e-09,13.8566
3.999999999999983e-09,13.9808
5.000000000000058e-09,13.8566
6.000000000000027e-09,13.9808
6.9999999999999965e-09,13.8566
8.000000000000072e-09,13.9808
9.000000000000041e-09,13.898
1.000000000000001e-08,14.0222
1.099999999999998e-08,13.8566
1.2000000000000055e-08,14.0222
1.3000000000000024e-08,14.0222
1.3999999999999993e-08,13.898
1.5000000000000068e-08,13.9808
1.6000000000000037e-08,13.898
1.7000000000000007e-08,13.9808
1.7999999999999976e-08,13.8566
1.900000000000005e-08,13.9808
2.000000000000002e-08,13.898
2.099999999999999e-08,14.0222
2.2000000000000065e-08,13.898
2.3000000000000034e-08,14.0222
2.4000000000000003e-08,13.8566
2.4999999999999972e-08,14.0222
2.6000000000000048e-08,13.690999999999999
2.7000000000000017e-08,13.5668
2.7999999999999986e-08,11.4554
